employee_id,attendance_date,hours_worked
41,2023-08-22,4
55,2023-07-17,8
115,2023-12-22,
159,2023-03-15,8
16,2023-08-20,8
98,2023-10-23,4
147,2023-05-19,4
96,2023-05-15,8
30,2023-06-02,6
50,2023-12-03,6
6,2023-09-29,4
115,2023-08-08,6
17,2023-06-17,4
174,2023-04-08,8
175,2023-08-23,6
117,2023-10-05,4
183,2023-02-14,6
168,2023-12-23,6
179,2023-05-22,
6,2023-05-18,8
100,2023-11-18,4
35,2023-11-25,6
192,2023-06-12,4
127,2023-12-28,0
121,2023-05-13,4
167,2023-08-25,6
49,2023-05-04,6
70,2023-03-17,6
75,2023-06-30,
159,2023-10-07,6
189,2023-07-07,
127,2023-07-29,4
171,2023-10-21,6
96,2023-09-18,6
11,2023-05-10,4
113,2023-12-14,6
164,2023-03-27,
153,2023-02-07,6
26,2023-10-14,0
83,2023-08-10,6
54,2023-07-02,
114,2023-09-11,
73,2023-09-03,8
182,2023-02-10,8
58,2023-08-24,
17,2023-05-10,4
31,2023-05-19,8
23,2023-04-02,4
23,2023-06-24,4
156,2023-08-12,
147,2023-01-15,4
23,2023-02-10,8
194,2023-06-16,4
135,2023-10-25,8
50,2023-02-28,6
110,2023-04-08,6
172,2023-04-29,8
27,2023-05-08,6
2,2023-04-08,0
42,2023-07-11,8
99,2023-12-16,8
118,2023-12-09,4
88,2023-08-12,0
68,2023-07-29,6
122,2023-08-12,6
41,2023-02-15,4
12,2023-07-20,6
193,2023-03-29,10
28,2023-01-20,8
120,2023-05-26,8
157,2023-08-28,8
7,2023-12-28,4
164,2023-02-06,6
125,2023-10-21,4
111,2023-01-30,
51,2023-11-30,6
18,2023-12-12,8
100,2023-02-17,
67,2023-05-25,6
13,2023-09-23,4
68,2023-01-07,6
124,2023-07-17,8
157,2023-07-13,4
139,2023-02-07,6
31,2023-12-10,
141,2023-04-05,8
136,2023-12-22,6
181,2023-08-23,10
61,2023-12-06,
110,2023-07-11,
80,2023-08-04,4
87,2023-09-17,6
80,2023-01-23,8
81,2023-10-20,6
133,2023-08-20,4
89,2023-01-29,4
46,2023-06-26,6
17,2023-09-07,4
43,2023-02-15,
56,2023-09-13,6
31,2023-07-31,0
169,2023-02-12,
13,2023-12-29,6
200,2023-10-15,6
16,2023-11-06,
141,2023-08-28,8
111,2023-07-24,6
82,2023-12-11,8
31,2023-05-28,6
125,2023-07-06,0
91,2023-08-20,4
35,2023-06-14,6
15,2023-01-19,10
132,2023-07-15,6
82,2023-01-03,0
17,2023-01-02,8
25,2023-11-04,6
14,2023-02-09,
3,2023-08-15,8
65,2023-11-11,4
131,2023-10-07,0
129,2023-12-21,
172,2023-06-14,6
139,2023-02-14,8
175,2023-11-26,6
53,2023-09-07,6
149,2023-07-16,8
46,2023-06-11,
194,2023-01-07,6
43,2023-12-02,8
94,2023-03-22,8
176,2023-12-08,6
176,2023-03-18,0
58,2023-02-24,6
180,2023-10-18,8
3,2023-05-03,6
188,2023-03-11,4
53,2023-08-05,4
73,2023-12-30,10
37,2023-11-09,6
62,2023-04-07,6
103,2023-04-05,4
155,2023-08-08,8
1,2023-12-24,8
128,2023-02-15,0
133,2023-04-15,6
53,2023-02-11,6
47,2023-04-25,8
8,2023-03-26,4
60,2023-06-27,6
156,2023-12-26,
18,2023-12-03,4
12,2023-03-22,8
171,2023-11-01,8
30,2023-06-04,8
82,2023-10-07,0
32,2023-07-02,
182,2023-11-29,8
13,2023-04-15,4
184,2023-09-01,8
194,2023-01-03,8
123,2023-07-12,4
62,2023-08-15,8
131,2023-12-11,0
144,2023-02-28,4
183,2023-07-06,
117,2023-02-11,6
103,2023-06-18,
28,2023-03-05,8
198,2023-10-30,6
182,2023-10-01,6
163,2023-10-18,6
31,2023-10-13,
180,2023-03-10,4
117,2023-03-23,8
29,2023-02-09,6
84,2023-08-02,6
130,2023-03-18,6
111,2023-01-12,6
153,2023-09-30,0
159,2023-08-11,
89,2023-04-02,10
114,2023-07-27,4
27,2023-07-23,6
111,2023-01-17,10
54,2023-05-14,4
82,2023-06-23,10
65,2023-08-09,4
135,2023-07-30,
5,2023-04-01,6
56,2023-02-22,8
196,2023-08-09,4
62,2023-12-27,4
56,2023-12-27,8
61,2023-03-14,
32,2023-09-11,6
182,2023-06-16,6
144,2023-02-28,4
199,2023-01-12,6
59,2023-08-13,0
199,2023-11-11,8
5,2023-07-01,
199,2023-01-16,6
182,2023-08-16,4
49,2023-07-29,0
134,2023-11-16,8
31,2023-11-15,8
29,2023-01-16,
148,2023-10-22,6
104,2023-07-23,8
5,2023-11-24,6
197,2023-04-20,0
50,2023-05-05,8
86,2023-12-02,4
94,2023-09-22,4
134,2023-08-24,8
158,2023-02-18,4
98,2023-06-20,8
39,2023-06-07,
195,2023-05-18,8
155,2023-11-21,6
61,2023-01-22,
182,2023-04-07,
125,2023-12-27,4
69,2023-07-13,0
167,2023-03-04,8
15,2023-10-28,4
69,2023-09-27,6
10,2023-02-08,
32,2023-12-19,6
77,2023-11-07,4
119,2023-11-07,8
22,2023-07-23,4
35,2023-11-26,4
57,2023-12-03,
18,2023-01-07,8
33,2023-01-15,0
149,2023-07-29,6
84,2023-11-23,6
179,2023-11-08,4
88,2023-01-15,4
86,2023-12-10,4
44,2023-06-20,8
81,2023-01-13,8
172,2023-04-10,8
33,2023-01-24,10
76,2023-09-30,8
40,2023-06-27,6
86,2023-11-13,6
17,2023-07-31,10
60,2023-12-06,6
165,2023-02-05,
143,2023-11-18,0
41,2023-11-24,4
112,2023-10-13,4
53,2023-09-30,
45,2023-04-05,0
157,2023-02-18,
193,2023-02-21,6
174,2023-04-28,
163,2023-09-22,8
74,2023-01-28,
68,2023-03-30,4
57,2023-10-16,8
179,2023-08-04,0
60,2023-05-22,0
127,2023-10-12,8
5,2023-09-16,8
35,2023-07-23,
116,2023-06-15,8
97,2023-11-13,8
4,2023-06-06,6
51,2023-09-29,6
186,2023-10-08,0
35,2023-05-21,4
192,2023-12-14,4
168,2023-11-22,6
129,2023-01-10,6
7,2023-08-13,
104,2023-05-27,8
177,2023-03-17,6
124,2023-12-07,4
33,2023-05-20,6
83,2023-02-14,0
12,2023-05-04,4
198,2023-12-01,
115,2023-07-23,0
97,2023-03-16,6
81,2023-10-01,6
82,2023-01-07,4
22,2023-04-26,8
128,2023-07-06,10
4,2023-03-19,6
193,2023-03-10,8
35,2023-07-13,8
186,2023-03-15,6
42,2023-02-01,
120,2023-03-20,4
117,2023-11-14,4
36,2023-03-27,4
7,2023-07-21,
32,2023-01-21,6
